failure_id,device_id,timestamp,failure_type,severity,downtime_minutes
33,D0001,2026-03-21 17:00:00,Firmware Crash,Minor,105
34,D0001,2026-03-24 16:00:00,Firmware Crash,Minor,74
35,D0002,2026-01-06 22:00:00,Communication Failure,Minor,129
36,D0002,2026-01-07 01:00:00,Communication Failure,Minor,197
37,D0002,2026-01-10 13:00:00,Firmware Crash,Minor,46
38,D0002,2026-01-14 13:00:00,Firmware Crash,Minor,47
39,D0002,2026-01-15 08:00:00,Communication Failure,Minor,185
40,D0002,2026-01-16 17:00:00,Communication Failure,Minor,32
41,D0002,2026-01-18 17:00:00,Firmware Crash,Minor,95
42,D0002,2026-02-12 00:00:00,Communication Failure,Minor,144
43,D0002,2026-02-13 14:00:00,Firmware Crash,Minor,176
44,D0002,2026-02-14 13:00:00,Firmware Crash,Minor,16
45,D0002,2026-02-16 09:00:00,Communication Failure,Minor,149
46,D0002,2026-02-16 12:00:00,Firmware Crash,Minor,25
47,D0002,2026-02-19 12:00:00,Firmware Crash,Minor,163
48,D0002,2026-02-19 23:00:00,Communication Failure,Minor,54
49,D0002,2026-02-22 12:00:00,Firmware Crash,Minor,205
50,D0002,2026-02-23 18:00:00,Communication Failure,Minor,170
51,D0002,2026-02-25 05:00:00,Communication Failure,Minor,47
52,D0002,2026-02-25 06:00:00,Communication Failure,Minor,158
53,D0002,2026-02-27 15:00:00,Firmware Crash,Minor,171
54,D0002,2026-02-27 21:00:00,Communication Failure,Minor,162
55,D0002,2026-03-06 17:00:00,Firmware Crash,Minor,105
56,D0002,2026-03-15 13:00:00,Firmware Crash,Minor,207
57,D0002,2026-03-16 13:00:00,Firmware Crash,Minor,110
58,D0002,2026-03-20 06:00:00,Communication Failure,Minor,32
59,D0002,2026-03-20 14:00:00,Communication Failure,Minor,178
60,D0002,2026-03-20 16:00:00,Communication Failure,Minor,97
61,D0002,2026-03-20 23:00:00,Communication Failure,Minor,144
62,D0002,2026-03-21 12:00:00,Communication Failure,Minor,103
63,D0002,2026-03-21 15:00:00,Firmware Crash,Minor,40
64,D0002,2026-03-26 07:00:00,Communication Failure,Minor,181
65,D0003,2026-01-03 01:00:00,Communication Failure,Minor,177
66,D0003,2026-01-03 20:00:00,Communication Failure,Minor,115
67,D0003,2026-01-06 05:00:00,Communication Failure,Minor,76
68,D0003,2026-01-06 13:00:00,Firmware Crash,Minor,231
69,D0003,2026-01-17 17:00:00,Firmware Crash,Minor,66
70,D0003,2026-01-18 13:00:00,Communication Failure,Minor,112
71,D0003,2026-01-21 15:00:00,Communication Failure,Minor,212
72,D0003,2026-01-25 11:00:00,Communication Failure,Minor,79
73,D0003,2026-02-01 19:00:00,Communication Failure,Minor,231
74,D0003,2026-02-02 05:00:00,Communication Failure,Minor,158
75,D0003,2026-02-03 05:00:00,Communication Failure,Minor,146
76,D0003,2026-02-04 08:00:00,Communication Failure,Minor,165
77,D0003,2026-02-04 16:00:00,Communication Failure,Minor,197
78,D0003,2026-02-06 17:00:00,Firmware Crash,Minor,51
79,D0003,2026-02-08 18:00:00,Communication Failure,Minor,144
80,D0003,2026-02-27 08:00:00,Communication Failure,Minor,149
81,D0003,2026-02-28 19:00:00,Communication Failure,Minor,236
82,D0003,2026-03-03 06:00:00,Communication Failure,Minor,47
83,D0003,2026-03-03 14:00:00,Communication Failure,Minor,77
84,D0003,2026-03-10 13:00:00,Communication Failure,Minor,167
85,D0003,2026-03-17 20:00:00,Communication Failure,Minor,10
86,D0003,2026-03-18 01:00:00,Communication Failure,Minor,225
87,D0003,2026-03-18 10:00:00,Communication Failure,Minor,162
88,D0003,2026-03-27 17:00:00,Firmware Crash,Minor,147
89,D0004,2026-01-04 13:00:00,Firmware Crash,Minor,124
90,D0004,2026-01-04 21:00:00,Communication Failure,Minor,32
91,D0004,2026-01-06 17:00:00,Firmware Crash,Minor,40
92,D0004,2026-01-08 07:00:00,Communication Failure,Minor,201
93,D0004,2026-01-16 19:00:00,Communication Failure,Minor,153
94,D0004,2026-01-17 12:00:00,Firmware Crash,Minor,49
95,D0004,2026-01-17 13:00:00,Firmware Crash,Minor,183
96,D0004,2026-01-22 18:00:00,Communication Failure,Minor,101
97,D0004,2026-01-29 15:00:00,Communication Failure,Minor,168
98,D0004,2026-01-30 12:00:00,Communication Failure,Minor,72
99,D0004,2026-01-30 14:00:00,Firmware Crash,Minor,217
100,D0004,2026-02-02 21:00:00,Communication Failure,Minor,129
101,D0004,2026-02-05 17:00:00,Communication Failure,Minor,215
102,D0004,2026-02-12 03:00:00,Communication Failure,Minor,128
103,D0004,2026-02-15 11:00:00,Communication Failure,Minor,62
104,D0004,2026-02-19 13:00:00,Communication Failure,Minor,93
105,D0004,2026-02-25 19:00:00,Communication Failure,Minor,47
106,D0004,2026-02-27 00:00:00,Communication Failure,Minor,236
107,D0004,2026-02-27 08:00:00,Communication Failure,Minor,193
108,D0004,2026-03-01 09:00:00,Communication Failure,Minor,19
109,D0004,2026-03-13 02:00:00,Communication Failure,Minor,44
110,D0004,2026-03-18 18:00:00,Communication Failure,Minor,105
111,D0004,2026-03-18 19:00:00,Communication Failure,Minor,239
112,D0004,2026-03-20 10:00:00,Communication Failure,Minor,78
113,D0004,2026-03-23 14:00:00,Firmware Crash,Minor,151
114,D0004,2026-03-23 19:00:00,Communication Failure,Minor,171
115,D0005,2026-01-04 19:00:00,Communication Failure,Minor,138
116,D0005,2026-01-07 09:00:00,Communication Failure,Minor,217
117,D0005,2026-01-14 21:00:00,Communication Failure,Minor,98
118,D0005,2026-01-16 15:00:00,Communication Failure,Minor,11
119,D0005,2026-01-17 00:00:00,Communication Failure,Minor,58
120,D0005,2026-01-18 14:00:00,Firmware Crash,Minor,45
121,D0005,2026-01-19 23:00:00,Communication Failure,Minor,192
122,D0005,2026-01-23 09:00:00,Communication Failure,Minor,225
123,D0005,2026-01-27 22:00:00,Communication Failure,Minor,221
124,D0005,2026-01-29 10:00:00,Communication Failure,Minor,140
125,D0005,2026-01-29 16:00:00,Communication Failure,Minor,164
126,D0005,2026-01-30 14:00:00,Firmware Crash,Minor,219
127,D0005,2026-01-30 21:00:00,Communication Failure,Minor,109
128,D0005,2026-02-05 00:00:00,Communication Failure,Minor,105
129,D0005,2026-02-07 16:00:00,Firmware Crash,Minor,11
130,D0005,2026-02-08 23:00:00,Communication Failure,Minor,145
131,D0005,2026-02-12 04:00:00,Communication Failure,Minor,178
132,D0005,2026-02-13 06:00:00,Communication Failure,Minor,127
133,D0005,2026-02-20 05:00:00,Communication Failure,Minor,240
134,D0005,2026-02-20 16:00:00,Firmware Crash,Minor,72
135,D0005,2026-02-26 20:00:00,Communication Failure,Minor,61
136,D0005,2026-02-28 15:00:00,Communication Failure,Minor,15
137,D0005,2026-03-02 04:00:00,Communication Failure,Minor,89
138,D0005,2026-03-06 11:00:00,Communication Failure,Minor,181
139,D0005,2026-03-06 12:00:00,Communication Failure,Minor,153
140,D0005,2026-03-09 04:00:00,Communication Failure,Minor,137
141,D0005,2026-03-17 08:00:00,Communication Failure,Minor,208
142,D0005,2026-03-19 14:00:00,Communication Failure,Minor,83
143,D0005,2026-03-20 03:00:00,Communication Failure,Minor,58
144,D0005,2026-03-23 08:00:00,Communication Failure,Minor,34
145,D0005,2026-03-23 19:00:00,Communication Failure,Minor,139
146,D0005,2026-03-26 17:00:00,Communication Failure,Minor,59
147,D0005,2026-03-28 00:00:00,Communication Failure,Minor,184
148,D0005,2026-03-31 11:00:00,Communication Failure,Minor,134
149,D0006,2026-01-02 16:00:00,Firmware Crash,Minor,12
150,D0006,2026-01-05 20:00:00,Communication Failure,Minor,206
151,D0006,2026-01-07 07:00:00,Communication Failure,Minor,190
152,D0006,2026-01-07 18:00:00,Communication Failure,Minor,114
153,D0006,2026-01-09 07:00:00,Communication Failure,Minor,176
154,D0006,2026-01-16 13:00:00,Firmware Crash,Minor,171
155,D0006,2026-01-17 16:00:00,Firmware Crash,Minor,226
156,D0006,2026-01-18 21:00:00,Communication Failure,Minor,91
157,D0006,2026-01-19 14:00:00,Communication Failure,Minor,114
158,D0006,2026-01-21 20:00:00,Communication Failure,Minor,68
159,D0006,2026-01-24 15:00:00,Firmware Crash,Minor,224
160,D0006,2026-01-27 12:00:00,Firmware Crash,Minor,67
161,D0006,2026-01-28 15:00:00,Communication Failure,Minor,216
162,D0006,2026-01-29 01:00:00,Communication Failure,Minor,103
163,D0006,2026-01-31 22:00:00,Communication Failure,Minor,168
164,D0006,2026-02-02 15:00:00,Firmware Crash,Minor,82
165,D0006,2026-02-03 03:00:00,Communication Failure,Minor,209
166,D0006,2026-02-05 16:00:00,Firmware Crash,Minor,31
167,D0006,2026-02-17 13:00:00,Firmware Crash,Minor,109
168,D0006,2026-02-21 16:00:00,Firmware Crash,Minor,59
169,D0006,2026-02-26 01:00:00,Communication Failure,Minor,230
170,D0006,2026-02-26 13:00:00,Communication Failure,Minor,130
171,D0006,2026-03-02 16:00:00,Firmware Crash,Minor,192
172,D0006,2026-03-02 17:00:00,Communication Failure,Minor,55
173,D0006,2026-03-05 12:00:00,Communication Failure,Minor,21
174,D0006,2026-03-10 15:00:00,Firmware Crash,Minor,16
175,D0006,2026-03-12 14:00:00,Firmware Crash,Minor,133
176,D0006,2026-03-20 17:00:00,Communication Failure,Minor,27
177,D0006,2026-03-21 03:00:00,Communication Failure,Minor,202
178,D0006,2026-03-21 12:00:00,Firmware Crash,Minor,135
179,D0006,2026-03-23 06:00:00,Communication Failure,Minor,189
180,D0006,2026-03-23 17:00:00,Firmware Crash,Minor,119
181,D0006,2026-03-27 12:00:00,Communication Failure,Minor,221
182,D0006,2026-03-29 19:00:00,Communication Failure,Minor,56
183,D0007,2026-01-04 14:00:00,Communication Failure,Minor,167
184,D0007,2026-01-04 20:00:00,Communication Failure,Minor,131
185,D0007,2026-01-08 22:00:00,Communication Failure,Minor,20
186,D0007,2026-01-10 21:00:00,Communication Failure,Minor,165
187,D0007,2026-01-16 14:00:00,Communication Failure,Minor,104
188,D0007,2026-01-16 17:00:00,Firmware Crash,Minor,190
189,D0007,2026-01-18 15:00:00,Firmware Crash,Minor,215
190,D0007,2026-01-25 14:00:00,Communication Failure,Minor,18
191,D0007,2026-01-28 14:00:00,Firmware Crash,Minor,205
192,D0007,2026-01-29 12:00:00,Firmware Crash,Minor,67
193,D0007,2026-01-30 15:00:00,Firmware Crash,Minor,150
194,D0007,2026-02-08 14:00:00,Firmware Crash,Minor,208
195,D0007,2026-02-11 21:00:00,Communication Failure,Minor,185
196,D0007,2026-02-15 17:00:00,Firmware Crash,Minor,10
197,D0007,2026-02-22 14:00:00,Firmware Crash,Minor,107
198,D0007,2026-02-25 03:00:00,Communication Failure,Minor,223
199,D0007,2026-03-02 02:00:00,Communication Failure,Minor,167
200,D0007,2026-03-04 09:00:00,Communication Failure,Minor,171
201,D0007,2026-03-06 16:00:00,Communication Failure,Minor,203
202,D0007,2026-03-14 02:00:00,Communication Failure,Minor,231
203,D0007,2026-03-21 10:00:00,Communication Failure,Minor,21
204,D0007,2026-03-22 15:00:00,Communication Failure,Minor,192
205,D0007,2026-03-23 21:00:00,Communication Failure,Minor,79
206,D0007,2026-03-27 12:00:00,Communication Failure,Minor,231
207,D0008,2026-01-08 15:00:00,Firmware Crash,Minor,125
208,D0008,2026-01-09 01:00:00,Communication Failure,Minor,111
209,D0008,2026-01-09 09:00:00,Communication Failure,Minor,107
210,D0008,2026-01-09 14:00:00,Firmware Crash,Minor,20
211,D0008,2026-01-11 16:00:00,Firmware Crash,Minor,146
212,D0008,2026-01-14 14:00:00,Communication Failure,Minor,204
213,D0008,2026-01-15 17:00:00,Communication Failure,Minor,173
214,D0008,2026-01-15 23:00:00,Communication Failure,Minor,189
215,D0008,2026-01-16 12:00:00,Communication Failure,Minor,138
216,D0008,2026-01-19 13:00:00,Communication Failure,Minor,195
217,D0008,2026-01-19 18:00:00,Communication Failure,Minor,37
218,D0008,2026-01-22 02:00:00,Communication Failure,Minor,133
219,D0008,2026-01-27 00:00:00,Communication Failure,Minor,184
220,D0008,2026-01-29 10:00:00,Communication Failure,Minor,94
221,D0008,2026-02-04 12:00:00,Firmware Crash,Minor,58
222,D0008,2026-02-04 13:00:00,Communication Failure,Minor,77
223,D0008,2026-02-05 17:00:00,Firmware Crash,Minor,29
224,D0008,2026-02-06 15:00:00,Communication Failure,Minor,223
225,D0008,2026-02-07 08:00:00,Communication Failure,Minor,207
226,D0008,2026-02-09 15:00:00,Communication Failure,Minor,96
227,D0008,2026-02-13 15:00:00,Firmware Crash,Minor,111
228,D0008,2026-02-14 01:00:00,Communication Failure,Minor,40
229,D0008,2026-02-14 07:00:00,Communication Failure,Minor,54
230,D0008,2026-02-19 18:00:00,Communication Failure,Minor,98
231,D0008,2026-02-23 03:00:00,Communication Failure,Minor,129
232,D0008,2026-03-04 13:00:00,Firmware Crash,Minor,144
233,D0008,2026-03-05 15:00:00,Communication Failure,Minor,213
234,D0008,2026-03-07 22:00:00,Communication Failure,Minor,38
235,D0008,2026-03-08 23:00:00,Communication Failure,Minor,146
236,D0008,2026-03-11 03:00:00,Communication Failure,Minor,219
237,D0008,2026-03-16 10:00:00,Communication Failure,Minor,194
238,D0008,2026-03-18 05:00:00,Communication Failure,Minor,180
239,D0008,2026-03-21 07:00:00,Communication Failure,Minor,50
240,D0008,2026-03-29 15:00:00,Firmware Crash,Minor,235
241,D0008,2026-03-30 15:00:00,Communication Failure,Minor,73
242,D0009,2026-01-01 16:00:00,Firmware Crash,Minor,138
243,D0009,2026-01-11 17:00:00,Firmware Crash,Minor,181
244,D0009,2026-01-12 15:00:00,Communication Failure,Minor,51
245,D0009,2026-01-13 05:00:00,Communication Failure,Minor,202
246,D0009,2026-01-16 11:00:00,Communication Failure,Minor,54
247,D0009,2026-01-18 14:00:00,Communication Failure,Minor,168
248,D0009,2026-01-19 22:00:00,Communication Failure,Minor,179
249,D0009,2026-01-21 01:00:00,Communication Failure,Minor,213
250,D0009,2026-01-23 13:00:00,Communication Failure,Minor,73
251,D0009,2026-01-24 08:00:00,Communication Failure,Minor,103
252,D0009,2026-01-27 11:00:00,Communication Failure,Minor,79
253,D0009,2026-01-30 11:00:00,Communication Failure,Minor,213
254,D0009,2026-01-31 14:00:00,Communication Failure,Minor,144
255,D0009,2026-02-03 09:00:00,Communication Failure,Minor,108
256,D0009,2026-02-06 15:00:00,Firmware Crash,Minor,60
257,D0009,2026-02-09 18:00:00,Communication Failure,Minor,103
258,D0009,2026-02-11 00:00:00,Communication Failure,Minor,226
259,D0009,2026-02-14 20:00:00,Communication Failure,Minor,133
260,D0009,2026-02-16 04:00:00,Communication Failure,Minor,78
261,D0009,2026-02-21 15:00:00,Firmware Crash,Minor,230
262,D0009,2026-02-26 22:00:00,Communication Failure,Minor,161
263,D0009,2026-03-06 21:00:00,Communication Failure,Minor,86
264,D0009,2026-03-12 16:00:00,Firmware Crash,Minor,167
265,D0009,2026-03-15 08:00:00,Communication Failure,Minor,46
266,D0009,2026-03-19 19:00:00,Communication Failure,Minor,66
267,D0009,2026-03-24 13:00:00,Firmware Crash,Minor,36
268,D0009,2026-03-30 00:00:00,Communication Failure,Minor,39
269,D0009,2026-03-30 01:00:00,Communication Failure,Minor,124
270,D0009,2026-03-30 12:00:00,Communication Failure,Minor,89
271,D0010,2026-01-01 20:00:00,Communication Failure,Minor,229
272,D0010,2026-01-05 17:00:00,Firmware Crash,Minor,213
273,D0010,2026-01-06 20:00:00,Communication Failure,Minor,238
274,D0010,2026-01-10 21:00:00,Communication Failure,Minor,41
275,D0010,2026-01-11 17:00:00,Firmware Crash,Minor,145
276,D0010,2026-01-23 14:00:00,Communication Failure,Minor,21
277,D0010,2026-01-27 17:00:00,Communication Failure,Minor,100
278,D0010,2026-01-30 17:00:00,Communication Failure,Minor,92
279,D0010,2026-02-04 00:00:00,Communication Failure,Minor,23
280,D0010,2026-02-23 18:00:00,Communication Failure,Minor,22
281,D0010,2026-02-28 16:00:00,Firmware Crash,Minor,98
282,D0010,2026-03-01 02:00:00,Communication Failure,Minor,177
283,D0010,2026-03-04 16:00:00,Communication Failure,Minor,121
284,D0010,2026-03-05 01:00:00,Communication Failure,Minor,235
285,D0010,2026-03-10 00:00:00,Communication Failure,Minor,42
286,D0010,2026-03-12 17:00:00,Firmware Crash,Minor,222
287,D0010,2026-03-13 12:00:00,Communication Failure,Minor,124
288,D0010,2026-03-15 17:00:00,Communication Failure,Minor,55
289,D0010,2026-03-16 08:00:00,Communication Failure,Minor,33
290,D0010,2026-03-17 04:00:00,Communication Failure,Minor,194
291,D0010,2026-03-17 10:00:00,Communication Failure,Minor,51
292,D0010,2026-03-18 11:00:00,Communication Failure,Minor,14
293,D0010,2026-03-19 11:00:00,Communication Failure,Minor,86
294,D0010,2026-03-29 16:00:00,Communication Failure,Minor,141
295,D0011,2026-01-01 07:00:00,Communication Failure,Minor,159
296,D0011,2026-01-02 03:00:00,Communication Failure,Minor,168
297,D0011,2026-01-02 06:00:00,Communication Failure,Minor,108
298,D0011,2026-01-03 17:00:00,Firmware Crash,Minor,237
299,D0011,2026-01-05 05:00:00,Communication Failure,Minor,188
300,D0011,2026-01-07 17:00:00,Firmware Crash,Minor,17
301,D0011,2026-01-08 22:00:00,Communication Failure,Minor,117
302,D0011,2026-01-12 02:00:00,Communication Failure,Minor,223
303,D0011,2026-01-14 15:00:00,Firmware Crash,Minor,77
304,D0011,2026-01-18 14:00:00,Communication Failure,Minor,200
305,D0011,2026-01-19 11:00:00,Communication Failure,Minor,56
306,D0011,2026-01-22 23:00:00,Communication Failure,Minor,157
307,D0011,2026-01-23 01:00:00,Communication Failure,Minor,233
308,D0011,2026-01-25 00:00:00,Communication Failure,Minor,19
309,D0011,2026-01-25 14:00:00,Communication Failure,Minor,137
310,D0011,2026-01-30 12:00:00,Communication Failure,Minor,195
311,D0011,2026-02-01 13:00:00,Communication Failure,Minor,167
312,D0011,2026-02-01 23:00:00,Communication Failure,Minor,96
313,D0011,2026-02-08 16:00:00,Communication Failure,Minor,109
314,D0011,2026-02-09 08:00:00,Communication Failure,Minor,16
315,D0011,2026-02-11 21:00:00,Communication Failure,Minor,124
316,D0011,2026-02-12 02:00:00,Communication Failure,Minor,106
317,D0011,2026-02-18 14:00:00,Firmware Crash,Minor,117
318,D0011,2026-02-20 23:00:00,Communication Failure,Minor,231
319,D0011,2026-02-22 13:00:00,Communication Failure,Minor,79
320,D0011,2026-02-24 01:00:00,Communication Failure,Minor,17
321,D0011,2026-03-01 15:00:00,Firmware Crash,Minor,208
322,D0011,2026-03-03 18:00:00,Communication Failure,Minor,219
323,D0011,2026-03-05 13:00:00,Communication Failure,Minor,71
324,D0011,2026-03-05 15:00:00,Firmware Crash,Minor,215
325,D0011,2026-03-06 16:00:00,Communication Failure,Minor,79
326,D0011,2026-03-11 14:00:00,Firmware Crash,Minor,173
327,D0011,2026-03-12 21:00:00,Communication Failure,Minor,189
328,D0011,2026-03-14 23:00:00,Communication Failure,Minor,97
329,D0011,2026-03-21 06:00:00,Communication Failure,Minor,40
330,D0011,2026-03-21 12:00:00,Firmware Crash,Minor,162
331,D0011,2026-03-25 09:00:00,Communication Failure,Minor,124
332,D0011,2026-03-25 14:00:00,Firmware Crash,Minor,232
333,D0011,2026-03-26 17:00:00,Firmware Crash,Minor,67
334,D0011,2026-03-30 01:00:00,Communication Failure,Minor,121
335,D0011,2026-03-31 00:00:00,Communication Failure,Minor,158
336,D0012,2026-01-03 14:00:00,Communication Failure,Minor,73
337,D0012,2026-01-05 14:00:00,Firmware Crash,Minor,200
338,D0012,2026-01-06 20:00:00,Communication Failure,Minor,195
339,D0012,2026-01-07 16:00:00,Communication Failure,Minor,143
340,D0012,2026-01-13 21:00:00,Communication Failure,Minor,142
341,D0012,2026-01-16 12:00:00,Firmware Crash,Minor,80
342,D0012,2026-01-16 13:00:00,Firmware Crash,Minor,178
343,D0012,2026-01-18 16:00:00,Firmware Crash,Minor,24
344,D0012,2026-01-24 05:00:00,Communication Failure,Minor,128
345,D0012,2026-01-24 17:00:00,Communication Failure,Minor,188
346,D0012,2026-01-29 00:00:00,Communication Failure,Minor,183
347,D0012,2026-01-29 15:00:00,Communication Failure,Minor,53
348,D0012,2026-01-30 02:00:00,Communication Failure,Minor,10
349,D0012,2026-02-01 19:00:00,Communication Failure,Minor,31
350,D0012,2026-02-03 00:00:00,Communication Failure,Minor,99
351,D0012,2026-02-04 06:00:00,Communication Failure,Minor,231
352,D0012,2026-02-04 16:00:00,Firmware Crash,Minor,98
353,D0012,2026-02-06 01:00:00,Communication Failure,Minor,117
354,D0012,2026-02-07 21:00:00,Communication Failure,Minor,184
355,D0012,2026-02-10 13:00:00,Communication Failure,Minor,188
356,D0012,2026-02-14 01:00:00,Communication Failure,Minor,151
357,D0012,2026-02-18 08:00:00,Communication Failure,Minor,221
358,D0012,2026-02-18 09:00:00,Communication Failure,Minor,69
359,D0012,2026-02-18 17:00:00,Firmware Crash,Minor,74
360,D0012,2026-02-19 15:00:00,Firmware Crash,Minor,149
361,D0012,2026-02-25 23:00:00,Communication Failure,Minor,144
362,D0012,2026-03-03 14:00:00,Firmware Crash,Minor,46
363,D0012,2026-03-04 20:00:00,Communication Failure,Minor,66
364,D0012,2026-03-06 06:00:00,Communication Failure,Minor,210
365,D0012,2026-03-07 07:00:00,Communication Failure,Minor,228
366,D0012,2026-03-14 17:00:00,Firmware Crash,Minor,61
367,D0012,2026-03-20 06:00:00,Communication Failure,Minor,19
368,D0012,2026-03-22 12:00:00,Firmware Crash,Minor,206
369,D0012,2026-03-24 00:00:00,Communication Failure,Minor,152
370,D0012,2026-03-25 12:00:00,Firmware Crash,Minor,67
371,D0012,2026-03-29 02:00:00,Communication Failure,Minor,142
372,D0012,2026-03-30 01:00:00,Communication Failure,Minor,27
373,D0012,2026-03-31 12:00:00,Firmware Crash,Minor,146
374,D0013,2026-01-01 12:00:00,Firmware Crash,Minor,231
375,D0013,2026-01-03 13:00:00,Firmware Crash,Minor,187
376,D0013,2026-01-08 05:00:00,Communication Failure,Minor,78
377,D0013,2026-01-10 13:00:00,Firmware Crash,Minor,92
378,D0013,2026-01-13 00:00:00,Communication Failure,Minor,115
379,D0013,2026-01-13 13:00:00,Communication Failure,Minor,86
380,D0013,2026-01-17 15:00:00,Firmware Crash,Minor,163
381,D0013,2026-01-24 06:00:00,Communication Failure,Minor,41
382,D0013,2026-01-25 05:00:00,Communication Failure,Minor,81
383,D0013,2026-02-08 17:00:00,Firmware Crash,Minor,100
384,D0013,2026-02-22 10:00:00,Communication Failure,Minor,143
385,D0013,2026-02-23 16:00:00,Communication Failure,Minor,81
386,D0013,2026-02-27 00:00:00,Communication Failure,Minor,142
387,D0013,2026-02-28 13:00:00,Communication Failure,Minor,137
388,D0013,2026-03-06 04:00:00,Communication Failure,Minor,185
389,D0013,2026-03-08 17:00:00,Firmware Crash,Minor,77
390,D0013,2026-03-09 00:00:00,Communication Failure,Minor,100
391,D0013,2026-03-10 19:00:00,Communication Failure,Minor,149
392,D0013,2026-03-15 08:00:00,Communication Failure,Minor,133
393,D0013,2026-03-18 14:00:00,Firmware Crash,Minor,35
394,D0013,2026-03-18 18:00:00,Communication Failure,Minor,137
395,D0013,2026-03-25 16:00:00,Firmware Crash,Minor,181
396,D0013,2026-03-28 16:00:00,Firmware Crash,Minor,184
397,D0013,2026-03-30 04:00:00,Communication Failure,Minor,36
398,D0013,2026-03-30 23:00:00,Communication Failure,Minor,196
399,D0013,2026-03-31 15:00:00,Firmware Crash,Minor,201
400,D0014,2026-01-01 05:00:00,Communication Failure,Minor,226
401,D0014,2026-01-02 23:00:00,Communication Failure,Minor,92
402,D0014,2026-01-03 03:00:00,Communication Failure,Minor,237
403,D0014,2026-01-03 17:00:00,Communication Failure,Minor,37
404,D0014,2026-01-06 06:00:00,Communication Failure,Minor,70
405,D0014,2026-01-06 13:00:00,Firmware Crash,Minor,227
406,D0014,2026-01-08 17:00:00,Firmware Crash,Minor,172
407,D0014,2026-01-13 03:00:00,Communication Failure,Minor,78
408,D0014,2026-01-17 10:00:00,Communication Failure,Minor,137
409,D0014,2026-01-24 13:00:00,Firmware Crash,Minor,115
410,D0014,2026-01-26 13:00:00,Communication Failure,Minor,45
411,D0014,2026-01-26 16:00:00,Firmware Crash,Minor,48
412,D0014,2026-01-28 20:00:00,Communication Failure,Minor,69
413,D0014,2026-01-29 00:00:00,Communication Failure,Minor,82
414,D0014,2026-01-31 12:00:00,Communication Failure,Minor,183
415,D0014,2026-02-07 17:00:00,Firmware Crash,Minor,37
416,D0014,2026-02-08 02:00:00,Communication Failure,Minor,53
417,D0014,2026-02-08 14:00:00,Firmware Crash,Minor,64
418,D0014,2026-02-08 20:00:00,Communication Failure,Minor,213
419,D0014,2026-02-09 13:00:00,Firmware Crash,Minor,197
420,D0014,2026-02-11 16:00:00,Firmware Crash,Minor,88
421,D0014,2026-02-12 16:00:00,Firmware Crash,Minor,163
422,D0014,2026-02-13 12:00:00,Communication Failure,Minor,201
423,D0014,2026-02-25 14:00:00,Firmware Crash,Minor,236
424,D0014,2026-02-26 16:00:00,Communication Failure,Minor,11
425,D0014,2026-03-08 16:00:00,Communication Failure,Minor,20
426,D0014,2026-03-18 00:00:00,Communication Failure,Minor,70
427,D0014,2026-03-19 03:00:00,Communication Failure,Minor,80
428,D0014,2026-03-30 16:00:00,Firmware Crash,Minor,121
429,D0015,2026-01-01 21:00:00,Communication Failure,Minor,12
430,D0015,2026-01-03 14:00:00,Firmware Crash,Minor,205
431,D0015,2026-01-07 14:00:00,Communication Failure,Minor,110
